key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-879385524,"Scaling trade-offs between crop productivity, carbon stocks and biodiversity in shifting cultivation landscape mosaics: the FALLOW model",2002,3,,ECOLOGICAL MODELLING,0304-3800,149,1,113-126,"van Noordwijk, M",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"Annual Meeting of the Resource-Modeling-Association (RMA), WAGENINGEN, NETHERLANDS, JUN 26-30, 2000 | RAYYAN-INCLUSION: {""Emily""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban,not temperate",,agricultural intensification;biodiversity;carbon stock;land use change;scaling;shifting cultivation,,
rayyan-879385525,Achieving carbon emission reduction through industrial \& urban symbiosis: A case of Kawasaki,2014,1,,ENERGY,0360-5442,64,,277-286,"Dong, Huijuan and Ohnishi, Satoshi and Fujita, Tsuyoshi and Geng, Yong and Fujii, Minoru and Dong, Liang",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"USER-NOTES: {""Kayleigh""=>[""Unclear if trees will be relevant, tended to inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,Industrial symbiosis;Urban symbiosis;Lifecycle carbon footprint;Material saving;Eco-town,,
rayyan-879385526,A multiscale analysis of urbanization effects on ecosystem services supply in an urban megaregion,2019,4,,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,662,,824-833,"Wang, Jiali and Zhou, Weiqi and Pickett, Steward T. A. and Yu, Wenjuan and Li, Weifeng",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"RAYYAN-INCLUSION: {""Emily""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,Urbanization;Ecosystem services;Multiscale;Urban megaregion;Urban ecology,,
rayyan-879385527,Examining the Effects of Land Use on Carbon Emissions: Evidence from Pearl River Delta,2021,4,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,18,7,,"Zhao, Yabo and Ma, Shifa and Fan, Jianhong and Cai, Yunnan",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"RAYYAN-INCLUSION: {""Emily""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate",,land-use-related carbon emissions;influencing factors;LMDI;urban agglomeration;Pearl River Delta,,
rayyan-879385528,Policies for habitat fragmentation: Combining econometrics with GIS-based landscape simulations,2007,5,,LAND ECONOMICS,0023-7639,83,2,109-127,"Lewis, David J. and Plantinga, Andrew J.",,English,UNIV WISCONSIN PRESS,"JOURNAL DIVISION, 1930 MONROE ST, 3RD FL, MADISON, WI 53711 USA",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,"",,
rayyan-879385529,Impact of three soil types on afforestation in China's Loess Plateau: Growth and survival of six tree species and their effects on soil properties,2007,11,,LANDSCAPE AND URBAN PLANNING,0169-2046,83,2,208-217,"Cao, Shixiong and Chen, Li and Xu, Chenguang and Liu, Zh and e",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"USER-NOTES: {""Kayleigh""=>[""Don't specifically mention carbon/climate solutions. However, afforestation may have direct implications/outcomes. Tended towards inclusion""]} | RAYYAN-INCLUSION: {""Emily""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,afforestation;loess soil;red clay;bedrock-derived soil;soil conditions;Loess plateau;China;Trees,,
rayyan-879385530,Contemporary carbon dynamics in terrestrial ecosystems in the Southeastern Plains of the United States,2004,7,,ENVIRONMENTAL MANAGEMENT,0364-152X,33,1,S442-S456,"Liu, Shuguang and Lovel and , Thomas R. and Kurtz, Rachel M.",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,carbon cycle;source and sink;land cover change;modeling;uncertainty;scaling;United States,,
rayyan-879385531,"Land use and forest cover projections for the United States: 1997-2050 - PROCEEDINGS OF THE SOCIETY OF AMERICAN FORESTERS, 2001 NATIONAL CONVENTION",2001,,,,,,,93-115,"Alig, RJ and Butler, BJ",,English,SOC AMER FORESTERS,"5400 GROSVENOR LANE, WASHINGTON, DC 20014 USA",,"National Convention of the Society-of-American-Foresters, DENVER, CO, SEP 13-17, 2001 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,land-use changes;forest-cover changes;United States;Trees,,
rayyan-879385532,"ASSESSMENT OF THE IMPACT OF LAND USE CHANGES ON APPROPRIATION OF NET PRIMARY PRODUCTIVITY IN ANJI, CHINA",2021,,,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,1589-1623,19,6,4331-4348,"Huang, Y. and Chen, S. L. and Jiang, H. and Chen, W. J. and Mo, X. H.",,English,CORVINUS UNIV BUDAPEST,"VILLANYI UT 29/43, BUDAPEST, H-1118, HUNGARY",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,potential NPP;CASA model;Thornthwaite Memorial model;Moso bamboo forests;urbanization;China,,
rayyan-879385533,Global rules for translating land-use change (LUH2) to land-cover change for CMIP6 using GLM2,2020,7,,GEOSCIENTIFIC MODEL DEVELOPMENT,1991-959X,13,7,3203-3220,"Ma, Lei and Hurtt, George C. and Chini, Louise P. and Sahajpal, Ritvik and Pongratz, Julia and Frolking, Steve and Stehfest, Elke and Goldewijk, Kees Klein and O'Leary, Donal and Doelman, Jonathan C.",,English,COPERNICUS GESELLSCHAFT MBH,"BAHNHOFSALLEE 1E, GOTTINGEN, 37081, GERMANY",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,"",,
rayyan-879385534,"Effects of Endogenous Factors on Regional Land-Use Carbon Emissions Based on the Grossman Decomposition Model: A Case Study of Zhejiang Province, China",2015,2,,ENVIRONMENTAL MANAGEMENT,0364-152X,55,2,467-478,"Wu, Cifang and Li, Guan and Yue, Wenze and Lu, Rucheng and Lu, Zhangwei and You, Heyuan",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Land use;Carbon emissions;Grossman decomposition model;Zhejiang Province;China,,
rayyan-879385535,"Development of bioproducts from Palm trees (Phoenix canariensis, Washingtonia robusta) oriented to carbon sequestration - VIII CONGRESO IBERICO DE AGROINGENIERIA LIBRO DE ACTAS: RETOS DE LA NUEVA AGRICULTURA MEDITERRANEA",2016,,,,,,,399-404,"Ferr and ez-Garcia, C. E. and Ferr and ez-Garcia, M. T. and Moral, R. and Ferr and ez-Villena, M. and Andreu-Rodriguez, J. and Garcia-Ortuno, T.",,Spanish,UNIV MIGUEL HERNANDEZ ELCHE,"AVINGUDA UNIVERSITAT D ELX, ALACANT, 03202, SPAIN",,"8th Iberian Congress of Agroengineering, Orihuela, SPAIN, JUN 01-03, 2015 | USER-NOTES: {""Kayleigh""=>[""Tended towards inclusion. Direct mention of carbon sequestration, pruning palm is related to urban forest management, therefore finding an alternative use contributes to climate solutions""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,Panel;mechanical properties;palm rachis;Factor VIII;Trees,,
rayyan-879385536,"Urban rivers are hotspots of riverine greenhouse gas (N2O, CH4, CO2) emissions in the mixed-landscape chaohu lake basin",2021,2,,WATER RESEARCH,0043-1354,189,,,"Zhang, Wangshou and Li, Hengpeng and Xiao, Qitao and Li, Xinyan",,English,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Watershed;Chaohu lake basin;Carbon dioxide;Methane;Nitrous oxide;Urban,,
rayyan-879385537,Present state and future of the world's mangrove forests,2002,9,,ENVIRONMENTAL CONSERVATION,0376-8929,29,3,331-349,"Alongi, DM",,English,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA",,"RAYYAN-INCLUSION: {""Emily""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary,not temperate",,mangrove forest;conservation;exploitation;coastal resources;management;current state;projection;Trees,,
rayyan-879385538,Rivers draining contrasting landscapes exhibit distinct potentials to emit diffusive methane (CH4),2022,2,,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,807,2,,"Xia, Tianyu and Zhang, Wangshou and Li, Hengpeng and Wang, Huiliang and He, Peng and Wang, Xingfeng",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,CH4 emissions;Importance analysis;Chaohu Lake basin;Watershed landscape;Monte Carlo,,
rayyan-879385540,A cross-scale impact assessment of European nature protection policies under contrasting future socio-economic pathways,2018,3,,REGIONAL ENVIRONMENTAL CHANGE,1436-3798,18,3,751-762,"Lotze-Campen, Hermann and Verburg, Peter H. and Popp, Alex and er and Lindner, Marcus and Verkerk, Pieter J. and Moiseyev, Alex and er and Schrammeijer, Elizabeth and Helming, John and Tabeau, Andrzej and Schulp, Catharina J. E. and van der Z and en, Emma H. and Lavalle, Carlo and Batista e Silva, Filipe and Walz, Ariane and Bodirsky, Benjamin",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban,not temperate",,Land use change;Integrated modelling;Cross-scale interaction;Nature protection;Impact assessment,,
rayyan-879385541,"Biochar and bioenergy production by pyrolysis of Conocarpus and Eucalyptus wastes: a case study, Khuzestan province, Iran",,,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,1735-1472,,,,"Wallikhani, A. H. and Asakereh, A. and Firouzi, A. Farrokhian",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Biochar;Biofuel;Calorific value;Conocarpus and Eucalyptus wastes;Green waste management;Iran,,
rayyan-879385542,Field and remotely sensed measures of soil and vegetation carbon and nitrogen across an urbanization gradient in the Boston metropolitan area,2013,9,,URBAN ECOSYSTEMS,1083-8155,16,3,593-616,"Rao, Preeti and Hutyra, Lucy R. and Raciti, Steve M. and Finzi, Adrien C.",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Boston;Vegetables,,
rayyan-879385543,Estimating fragmentation effects on simulated forest net primary productivity derived from satellite imagery,2004,2,,INTERNATIONAL JOURNAL OF REMOTE SENSING,0143-1161,25,4,819-838,"Coops, NC and White, JD and Scott, NA",,English,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",,"USER-NOTES: {""Kayleigh""=>[""Not clear on urban component, tended towards inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Imagery (Psychotherapy);Trees,,
rayyan-879385544,Could arid and semi-arid abandoned lands prove ecologically or economically valuable if they afford greater soil organic carbon storage than afforested lands in China's Loess Plateau?,2020,12,,LAND USE POLICY,0264-8377,99,,,"Cao, Jianjun and Wei, Chen and Adamowski, Jan F. and Zhou, Junju and Liu, Chunfang and Zhu, Guofeng and Dong, Xiaogang and Zhang, Xiaofang and Zhao, Huijun and Feng, Qi",,English,ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",,"USER-NOTES: {""Kayleigh""=>[""Soil focus, but mention afforestation etc. tended towards inclusion""]} | RAYYAN-INCLUSION: {""Emily""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Arid and semi-arid areas;Soil erosion;Afforestation policy;Land abandonment;Soil organic carbon;Land use type;China,,
rayyan-879385545,The sensitivity of terrestrial carbon storage to historical climate variability and atmospheric CO2 in the United States,1999,4,,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,1600-0889,51,2,414-452,"Tian, H and Melillo, JM and Kicklighter, DW and McGuire, AD and Helfrich, J",,English,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",,"5th International CO(2) Conference, CAIRNS, AUSTRALIA, SEP 08-12, 1997 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban,not forest management",,United States,,
rayyan-879385546,"Vertical profiles of biospheric and fossil fuel-derived CO2 and fossil fuel CO2 : CO ratios from airborne measurements of Delta C-14, CO2 and CO above Colorado, USA",2009,7,,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,1600-0889,61,3,536-546,"Graven, Heather D. and Stephens, Britton B. and Guilderson, Thomas P. and Campos, Teresa L. and Schimel, David S. and Campbell, J. Elliott and Keeling, Ralph F.",,English,TAYLOR \& FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OR14 4RN, OXON, ENGLAND",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution,not forest management",,Colorado,,
rayyan-879385547,"Assessing the comprehensive impacts of different urbanization process on vegetation net primary productivity in Wuhan, China, from 1990 to 2020",2021,12,,SUSTAINABLE CITIES AND SOCIETY,2210-6707,75,,,"Zhong, Jing and Liu, Jiafeng and Jiao, Limin and Lian, Xihong and Xu, Zhibang and Zhou, Zhengzi",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Urban expansion;Urban vegetation;Spatial-temporal dynamics;Urban expansion intensity;Proximity expansion index;China,,
rayyan-879385548,Estimating Long-Term Changes in China's Village Landscapes,2009,2,,ECOSYSTEMS,1432-9840,12,2,279-297,"Ellis, Erle Christopher and Neerchal, Nagaraj and Peng, Kui and Xiao, Hong Sheng and Wang, Hongqing and Zhuang, Yan and Li, Shou Cheng and Wu, Jun Xi and Jiao, Jia Guo and Ouyang, Hua and Cheng, Xu and Yang, Lin Zhang",,English,SPRINGER,"233 SPRING ST, NEW YORK, NY 10013 USA",,"RAYYAN-INCLUSION: {""Emily""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,human dominated ecosystems;land-use and land-cover change;China;anthropogenic biomes;ecological history;landscape ecology;up-scaling;regional change;ecotope mapping;agriculture,,
rayyan-879385549,Distilling the role of ecosystem services in the Sustainable Development Goals,2018,2,,ECOSYSTEM SERVICES,2212-0416,29,,70-82,"Wood, Sylvia L. R. and Jones, Sarah K. and Johnson, Justin A. and Brauman, Kate A. and Chaplin-Kramer, Rebecca and Fremier, Alex and er and Girvetz, Evan and Gordon, Line J. and Kappel, Carrie V. and M and le, Lisa and Mulligan, Mark and O'Farrell, Patrick and Smith, William K. and Willemen, Louise and Zhang, Wei and DeClerck, Fabrice A.",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"RAYYAN-INCLUSION: {""ericapadvaiskas""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution,not forest management",,Environmental benefits;Sustainable Development Goals;Interactions;Ecosystem modelling;Policy review,,
rayyan-879385550,Vegetation structure along urban ephemeral streams in southeastern Arizona,2014,3,,URBAN ECOSYSTEMS,1083-8155,17,1,349-368,"Hutmacher, Amy M. and Zaimes, George N. and Martin, Jonathan and Green, Douglas M.",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Riparian areas;Urbanization;Ephemeralstream;Vegetation structure;Vegetation species;Desert ecosystems;Arizona,,
rayyan-879385551,Farmers' Willingness to Accept Compensation to Maintain the Benefits of Urban Forests,2019,8,,FORESTS,,10,8,,"Wang, Xueyan and Adamowski, Jan F. and Wang, Guangda and Cao, Jianjun and Zhu, Guofeng and Zhou, Junju and Liu, Chunfang and Dong, Xiaogang",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"RAYYAN-INCLUSION: {""ericapadvaiskas""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,willingness to accept pay;afforestation;rural development;ecological benefits;economic benefits;Trees,,
rayyan-879385552,Physical and Mechanical Properties of Particleboard Made from Palm Tree Prunings,2018,12,,FORESTS,1999-4907,9,12,,"Ferr and ez-Garcia, Clara-Eugenia and Ferr and ez-Garcia, Antonio and Ferr and ez-Villena, Manuel and Fern and o Hidalgo-Cordero, Juan and Garcia-Ortuno, Teresa and Ferr and ez-Garcia, Maria-Teresa",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,thermal conductivity;palm rachis;biomass;hot pressing;Phoenix canariensis;Phoenix dactylifera;Washingtonia robusta;Trees,,
rayyan-879385553,A Unified Algorithm for Channel Imbalance and Antenna Phase Center Position Calibration of a Single-Pass Multi-Baseline TomoSAR System,2018,3,,REMOTE SENSING,2072-4292,10,3,,"Bu, Yuncheng and Liang, Xingdong and Wang, Yu and Zhang, Fubo and Li, Yanlei",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"USER-NOTES: {""Kayleigh""=>[""More methods based- but specfically mentions forest carbon storage estimation\n""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,TomoSAR;multi-baseline SAR;unified algorithm;channel imbalance;APC position;Algorithms;Calibration,,
rayyan-879385554,"Taking climate, land use, and social economy into estimation of carbon budget in the Guanzhong-Tianshui Economic Region of China",2017,4,,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,0944-1344,24,11,10466-10480,"Li, Ting and Li, Jing and Zhou, Zixiang and Wang, Yanze and Yang, Xiaonan and Qin, Keyu and Liu, Jingya",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban,not forest management",,Carbon budget;Scenario;The Guanzhong-Tianshui Economic Region;China,,
rayyan-879385555,"Sustainability Dynamics of Traditional Villages: A Case Study in Qiannan Prefecture, Guizhou, China",2020,1,,SUSTAINABILITY,,12,1,,"Xiao, Yi and Zhao, Jinqi and Sun, Siqi and Guo, Luo and Axmacher, Jan and Sang, Weiguo",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,sustainability assessment;landscape pattern;ecosystem services;human disturbance;China,,
rayyan-879385556,Extensive green roof CO2 exchange and its seasonal variation quantified by eddy covariance measurements,2017,12,,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,607,,623-632,"Heusinger, Jannik and Weber, Stephan",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,CO2 uptake;Dry periods;A-gs model;Carbon sequestration;Urban;Seasons,,
rayyan-879385557,"Mapping and comparing ecosystem service indicators of global climate regulation in Schleswig-Holstein, Northern Germany",2019,1,,SCIENCE OF THE TOTAL ENVIRONMENT,0048-9697,648,,1582-1597,"Ma, Liwei and Bicking, Sabine and Mueller, Felix",,English,ELSEVIER SCIENCE BV,"PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",,Gross Primary Production (GPP);Net Primary Production (NPP);Soil Organic Carbon (SOC);Carbon Stocks (CS);Germany,,
rayyan-879385558,Distributional Issues in Natural Capital Accounting: An Application to Land Ownership and Ecosystem Services in Scotland,2022,2,,ENVIRONMENTAL \& RESOURCE ECONOMICS,0924-6460,81,2,215-241,"Atkinson, Giles and Ov and o, Paola",,English,SPRINGER,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban,not forest management",,Distribution;Ecosystem services;Equity;Natural capital accounting;Landownership;Scotland,,
rayyan-879385559,"The sustainability assessment of CO2 capture, utilization and storage (CCUS) and the conversion of cropland to forestland program (CCFP) in the Water-Energy-Food (WEF) framework towards China's carbon neutrality by 2060",2021,7,,ENVIRONMENTAL EARTH SCIENCES,1866-6280,80,14,,"Xie, Yachen and Hou, Zhengmeng and Liu, Hejuan and Cao, Cheng and Qi, Jiaguo",,English,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban,not forest management",,CCUS;CCFP;WEF nexus;Carbon sequestration;Carbon neutrality;China;Food,,
rayyan-879385560,Projected land-use change impacts on ecosystem services in the United States,2014,5,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0027-8424,111,20,7492-7497,"Lawler, Joshua J. and Lewis, David J. and Nelson, Erik and Plantinga, Andrew J. and Polasky, Stephen and Withey, John C. and Helmers, David P. and Martinuzzi, Sebastin and Pennington, Derric and Radeloff, Volker C.",,English,NATL ACAD SCIENCES,"2101 CONSTITUTION AVE NW, WASHINGTON, DC 20418 USA",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,econometric model;incentives;at-risk birds;game species;amphibians;United States,,
rayyan-879385561,Entropy Change as influenced by Anthropogenic Impact on a Boreal Land Cover - A Case Study,2006,6,,JOURNAL OF ENVIRONMENTAL INFORMATICS,1726-2135,7,2,75-83,"Kumari, J. and Govind, A. and Govind, A.",,English,INT SOC ENVIRON INFORM SCI,"4246 ALBERT ST, REGINA, SASKATCHEWAN S4S 3R9, CANADA",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Remoate sensing;land use and land cover change;Shannon Entropy;vegetation vigor;Entropy,,
rayyan-879385562,"Quantification of ecosystem services supply-demand and the impact of demographic change on cultural services in Shenzhen, China",2022,2,,JOURNAL OF ENVIRONMENTAL MANAGEMENT,0301-4797,304,,,"Zhao, Yuhao and Wang, Na and Luo, Yuhang and He, Haishan and Wu, Lei and Wang, Hongliang and Wang, Qingtao and Wu, Jiansheng",,English,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON NW1 7DX, ENGLAND",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,Ecosystem services;Time-varying population;Mobile phone signaling data;Ecological supply-demand ratio;Diurnal variation;China,,
rayyan-879385563,"Assessing and Predicting the Impact of Multi-Scenario Land Use Changes on the Ecosystem Service Value: A Case Study in the Upstream of Xiong'an New Area, China",2021,1,,SUSTAINABILITY,,13,2,,"Wang, Zhiyin and Cao, Jiansheng",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,system dynamics;scenario simulation;land use change;ecosystem services value (ESV);upstream of Xiong\&\#8217;an New Area;China,,
rayyan-879385564,Grassland canopy cover and aboveground biomass in Mongolia and Inner Mongolia: Spatiotemporal estimates and controlling factors,2018,8,,REMOTE SENSING OF ENVIRONMENT,0034-4257,213,,34-48,"John, Ranjeet and Chen, Jiquan and Giannico, Vincenzo and Park, Hogeun and Xiao, Jingfeng and Shirkey, Gabriela and Ouyang, Zutao and Shao, Changliang and Lafortezza, Raffaele and Qi, Jiaguo",,English,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA",,"USER-NOTES: {""Kayleigh""=>[""canopy cover""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban,not climate solution",,Grasslands;Semiarid;MODIS;Cubist;Livestock density;Mongolian Plateau;China,,
rayyan-879385566,Forests and trees for social adaptation to climate variability and change,2012,11,,WILEY INTERDISCIPLINARY REVIEWS-CLIMATE CHANGE,1757-7780,3,6,581-596,"Pramova, Emilia and Locatelli, Bruno and Djoudi, Houria and Somorin, Olufunso A.",,English,WILEY,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: relevant review",,"",,
rayyan-879385567,Developing the volume models for 5 major species of street trees in Gwangju metropolitan city of Korea,2016,8,,URBAN FORESTRY \& URBAN GREENING,1618-8667,18,,53-58,"Kim, Hyun-Jun and Lee, Sang-Hyun",,English,"ELSEVIER GMBH, URBAN \& FISCHER VERLAG","OFFICE JENA, P O BOX 100537, 07705 JENA, GERMANY",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Gwangju metropolitan city;Regression function;Street tree;Urban forestry;Volume model;Korea;Trees,,
rayyan-879385568,The financial impact of street-level greenery on New York commercial buildings,2021,10,,LANDSCAPE AND URBAN PLANNING,0169-2046,214,,,"Yang, Juncheng and Rong, Helena and Kang, Yuhao and Zhang, Fan and Chegut, Andrea",,English,ELSEVIER,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",,Street greenery;Google street view;Hedonic valuation;Commercial real estate,,
